Label,ugz_txt_Municipio__c,ugz_txt_MunicipioSemAcento__c,ugz_txt_UnidadeFederativa__c,ugz_txt_UnidadeFederativaSemAcento__c,ugz_txt_uf,ugz_txt_FilaNucleoEmpresarial__c,ugz_txt_FilaNucleoRevenda__c,ugz_txt_FilaNucleoIndustrialEnvasado__c
3550308,São Paulo,Sao Paulo,SÃO PAULO,SAO PAULO,SP,ugz_NUC_Maua_Emp_NUC_Barueri_Emp,Lead SP - Domiciliar, ugz_MM_Ind_Envasado_Centro_Leste_Oeste
3518800,Guarulhos,Guarulhos,SÃO PAULO,SAO PAULO,SP,ugz_NUC_Maua_Emp,ugz_NUC_Leste_Dom, ugz_MM_Ind_Envasado_Leste
3548708,São Bernardo do Campo,Sao Bernardo Do Campo,SÃO PAULO,SAO PAULO,SP,ugz_NUC_Maua_Emp,ugz_NUC_Leste_Dom, ugz_MM_Ind_Envasado_Leste
3549904,São José dos Campos,Sao Jose Dos Campos,SÃO PAULO,SAO PAULO,SP,ugz_NUC_SJC_Emp, ugz_NUC_SJC_Dom,ugz_MM_Ind_Envasado_SJC
3547809,Santo André,Santo Andre,SÃO PAULO,SAO PAULO,SP,ugz_NUC_Maua_Emp,ugz_NUC_Leste_Dom, ugz_MM_Ind_Envasado_Leste
3534401,Osasco,Osasco,SÃO PAULO,SAO PAULO,SP,ugz_NUC_Maua_Emp_NUC_Barueri_Emp, ugz_NUC_Oeste_Dom,ugz_MM_Ind_Envasado_Oeste
3529401,Mauá,Maua,SÃO PAULO,SAO PAULO,SP,ugz_NUC_Maua_Emp,ugz_NUC_Leste_Dom, ugz_MM_Ind_Envasado_Leste
3530607,Mogi das Cruzes,Mogi Das Cruzes,SÃO PAULO,SAO PAULO,SP,ugz_NUC_Maua_Emp, ugz_NUC_SJC_Dom,ugz_MM_Ind_Envasado_SJC
3548500,Santos,Santos,SÃO PAULO,SAO PAULO,SP,ugz_NUC_Santos_Emp, ugz_NUC_Santos_Dom, ugz_MM_Ind_Envasado_Santos
3513801,Diadema,Diadema,SÃO PAULO,SAO PAULO,SP,ugz_NUC_Maua_Emp,ugz_NUC_Leste_Dom, ugz_MM_Ind_Envasado_Leste
3510609,Carapicuíba,Carapicuiba,SÃO PAULO,SAO PAULO,SP,ugz_NUC_Maua_Emp_NUC_Barueri_Emp, ugz_NUC_Oeste_Dom,ugz_MM_Ind_Envasado_Oeste
3523107,Itaquaquecetuba,Itaquaquecetuba,SÃO PAULO,SAO PAULO,SP,ugz_NUC_Maua_Emp, ugz_NUC_SJC_Dom,ugz_MM_Ind_Envasado_SJC
3551009,São Vicente,Sao Vicente,SÃO PAULO,SAO PAULO,SP,ugz_NUC_Santos_Emp, ugz_NUC_Santos_Dom, ugz_MM_Ind_Envasado_Santos
