Label,ugz_txt_Municipio__c,ugz_txt_UnidadeFederativa__c,ugz_txt_MunicipioSemAcento__c,ugz_txt_UnidadeFederativaSemAcento__c,ugz_txt_MercadoEmpresarial__c,ugz_txt_MercadoRevenda__c,ugz_txt_Uf__c,ugz_txt_FilaNucleoEmpresarial__c,ugz_txt_FilaNucleoRevenda__c,ugz_txt_FilaNucleoIndustrialEnvasado__c,ugz_txt_MercadoIndustrial__c
3550308,São Paulo,SÃO PAULO,Sao Paulo,SAO PAULO,Empresarial GSP,Grande SP,SP,ugz_NUC_Maua_Emp_NUC_Barueri_Emp, ugz_Lead_SP_Dom, ugz_MM_Ind_Envasado_Centro_Leste_Oeste,MM Industrial Envasado Centro/Leste/Oeste
3518800,Guarulhos,SÃO PAULO,Guarulhos,SAO PAULO,Empresarial GSP,Grande SP,SP,ugz_NUC_Maua_Emp,ugz_NUC_Leste_Dom, ugz_MM_Ind_Envasado_Leste,MM Industrial Envasado Leste
3548708,São Bernardo do Campo,SÃO PAULO,Sao Bernardo Do Campo,SAO PAULO,Empresarial GSP,Grande SP,SP,ugz_NUC_Maua_Emp,ugz_NUC_Leste_Dom, ugz_MM_Ind_Envasado_Leste,MM Industrial Envasado Leste
3549904,São José dos Campos,SÃO PAULO,Sao Jose Dos Campos,SAO PAULO,Empresarial GSP,Campinas,SP,ugz_NUC_SJC_Emp, ugz_NUC_SJC_Dom,ugz_MM_Ind_Envasado_SJC,MM Industrial Envasado SJC
3547809,Santo André,SÃO PAULO,Santo Andre,SAO PAULO,Empresarial GSP,Grande SP,SP,ugz_NUC_Maua_Emp,ugz_NUC_Leste_Dom, ugz_MM_Ind_Envasado_Leste,MM Industrial Envasado Leste
3534401,Osasco,SÃO PAULO,Osasco,SAO PAULO,Empresarial GSP,Grande SP,SP,ugz_NUC_Maua_Emp_NUC_Barueri_Emp, ugz_NUC_Oeste_Dom,ugz_MM_Ind_Envasado_Oeste,MM Industrial Envasado Oeste
3529401,Mauá,SÃO PAULO,Maua,SAO PAULO,Empresarial GSP,Grande SP,SP,ugz_NUC_Maua_Emp,ugz_NUC_Leste_Dom, ugz_MM_Ind_Envasado_Leste,MM Industrial Envasado Leste
3530607,Mogi das Cruzes,SÃO PAULO,Mogi Das Cruzes,SAO PAULO,Empresarial GSP,Campinas,SP,ugz_NUC_Maua_Emp, ugz_NUC_SJC_Dom,ugz_MM_Ind_Envasado_SJC,MM Industrial Envasado SJC
3548500,Santos,SÃO PAULO,Santos,SAO PAULO,Empresarial GSP,Grande SP,SP,ugz_NUC_Santos_Emp, ugz_NUC_Santos_Dom, ugz_MM_Ind_Envasado_Santos,MM Industrial Envasado Santos
3513801,Diadema,SÃO PAULO,Diadema,SAO PAULO,Empresarial GSP,Grande SP,SP,ugz_NUC_Maua_Emp,ugz_NUC_Leste_Dom, ugz_MM_Ind_Envasado_Leste,MM Industrial Envasado Leste
3510609,Carapicuíba,SÃO PAULO,Carapicuiba,SAO PAULO,Empresarial GSP,Grande SP,SP,ugz_NUC_Maua_Emp_NUC_Barueri_Emp, ugz_NUC_Oeste_Dom,ugz_MM_Ind_Envasado_Oeste,MM Industrial Envasado Oeste
3523107,Itaquaquecetuba,SÃO PAULO,Itaquaquecetuba,SAO PAULO,Empresarial GSP,Campinas,SP,ugz_NUC_Maua_Emp, ugz_NUC_SJC_Dom,ugz_MM_Ind_Envasado_SJC,MM Industrial Envasado SJC
3551009,São Vicente,SÃO PAULO,Sao Vicente,SAO PAULO,Empresarial GSP,Grande SP,SP,ugz_NUC_Santos_Emp, ugz_NUC_Santos_Dom, ugz_MM_Ind_Envasado_Santos,MM Industrial Envasado Santos
3541000,Praia Grande,SÃO PAULO,Praia Grande,SAO PAULO,Empresarial GSP,Grande SP,SP,ugz_NUC_Santos_Emp, ugz_NUC_Santos_Dom, ugz_MM_Ind_Envasado_Santos,MM Industrial Envasado Santos
3518701,Guarujá,SÃO PAULO,Guaruja,SAO PAULO,Empresarial GSP,Grande SP,SP,ugz_NUC_Santos_Emp, ugz_NUC_Santos_Dom, ugz_MM_Ind_Envasado_Santos,MM Industrial Envasado Santos
