Label;ugz_txt_Fila__c;ugz_txt_Mercado__c;ugz_txt_Nucleo__c
0;ugz_NUC_Maua_Emp_NUC_Barueri_Emp;Empresarial GSP;NUC Barueri Emp
1;ugz_NUC_Maua_Emp;Empresarial GSP;NUC Mauá Emp
2;ugz_NUC_SJC_Emp;Empresarial GSP;NUC SJC Emp
3;ugz_NUC_Santos_Emp;Empresarial GSP;NUC Santos Emp
4;NUC Bahia Emp;Empresarial Nordeste;NUC Bahia
5;ugz_MM_Ind_Envasado_Centro_Leste_Oeste;Empresarial Nordeste;NUC Ceará
6;ugz_NUC_PE_Dom;Empresarial Nordeste;NUC Pernambuco
7;ugz_MM_Ind_Envasado_Centro_Leste_Oeste;Empresarial SP Interior;NUC BAURU EMP
8;ugz_NUC_PE_Dom;Empresarial SP Interior;NUC RIBEIRAO PRETO EMP
9;ugz_NUC_Paulinia_Emp;Empresarial SP Interior;NUC PAULINIA EMP
10;ugz_NUC_Sorocaba_Emp;Empresarial SP Interior;NUC SOROCABA EMP
11;ugz_NUC_Goiania_Emp;Empresarial Sudeste;NUC Goiânia
12;ugz_NUC_Rio_Emp;Empresarial Sudeste;NUC Rio
13;ugz_NUC_Minas_Emp;Empresarial Sudeste;NUC Minas Emp
14;ugz_NUC_Parana_Emp;Empresarial Sul;NUC Paraná
15;ugz_NUC_Rio_Grande_do_Sul_Emp;Empresarial Sul;NUC Rio Grande do Sul
16;ugz_NUC_Santa_Catarina_Emp;Empresarial Sul;NUC Santa Catarina
17;ugz_area_Branca;Área Branca;Área Branca
18;ugz_Lead_SP_Dom;GSP;Lead SP - Domiciliar
19;InsideSales;;Inside Sales
20;ugz_NUC_Leste_Dom;GSP;NUC Leste Dom
21;ugz_NUC_Oeste_Dom;GSP;NUC Oeste Dom
22;ugz_NUC_Santos_Dom;GSP;NUC Santos Dom
23;ugz_NUC_Centro_Dom;GSP;NUC Centro Dom
24;ugz_NUC_Salvador_Dom;Bahia;NUC Salvador Dom
25;ugz_NUC_Norte_BA_Dom;Bahia;NUC Norte BA Dom
26;ugz_NUC_Sul_BA_Dom;Bahia;NUC Sul BA Dom
27;ugz_NUC_Juazeiro_BA_Dom;Bahia;NUC Juazeiro BA Dom
28;ugz_NUC_SJC_Dom;Campinas;NUC SJC Dom
29;ugz_NUC_Paulinia_Dom;Campinas;NUC Paulínia Dom
30;ugz_NUC_Sorocaba_Dom;Campinas;NUC Sorocaba Dom
31;ugz_NUC_Aracaju_Maceio_Dom;Pernambuco;NUC Aracaju/Maceio Dom
32;ugz_NUC_Ceara_Dom;Ceará;NUC Ceará Dom
33;ugz_NUC_Maranhao_Dom;Ceará;NUC Maranhão Dom
34;ugz_NUC_Belem_Dom;Ceará;NUC Belém Dom
35;ugz_NUC_Maraba_Dom;Ceará;NUC Marabá Dom
36;ugz_NUC_Piaui_Dom;Ceará;NUC Piauí Dom
